"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"persistent heartburn, chest burning sensation, regurgitation of food, sour taste in mouth, chronic cough",Gastroesophageal Reflux Disease (GERD)
"frequent heartburn, acid taste, chest pain (non-cardiac), hoarseness, difficulty swallowing",Gastroesophageal Reflux Disease (GERD)
"burning chest pain, chronic cough, regurgitation, sore throat, worsening symptoms after eating",Gastroesophageal Reflux Disease (GERD)
"acid reflux, heartburn, sour regurgitation, constant clearing of throat, chest discomfort",Gastroesophageal Reflux Disease (GERD)
"chest burning, persistent cough, bitter taste in mouth, hoarseness, frequent heartburn",Gastroesophageal Reflux Disease (GERD)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowel Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowable Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowel Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowel Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowel Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowel Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowel Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"abdominal pain relieved by bowel movement, bloating, diarrhea and constipation alternating, gas",Irritable Bowel Syndrome (IBS)
"chronic abdominal cramping, frequent bloating, diarrhea, constipation, change in stool consistency",Irritable Bowel Syndrome (IBS)
"bloating, severe cramping, gas, alternating diarrhea and constipation, persistent abdominal discomfort",Irritable Bowel Syndrome (IBS)
"recurrent abdominal pain, relief after bowel movement, gas, fluctuating bowel habits, mucus in stool",Irritable Bowel Syndrome (IBS)
"cramping, abdominal pain, bloating, alternating periods of diarrhea and constipation, urgency",Irritable Bowel Syndrome (IBS)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"runny nose, sore throat, sneezing, nasal congestion, mild body aches",Common Cold (Viral Rhinitis)
"stuffy nose, throat irritation, sneezing, watery eyes, low-grade headache",Common Cold (Viral Rhinitis)
"sore throat, runny nose, slight cough, nasal congestion, general malaise",Common Cold (Viral Rhinitis)
"sneezing, stuffy nose, throat tickle, mild body aches, congestion",Common Cold (Viral Rhinitis)
"runny nose, nasal congestion, sore throat, sneezing, mild fatigue",Common Cold (Viral Rhinitis)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"facial pain/pressure, nasal congestion, thick yellow/green discharge, headache, reduced smell",Sinusitis (Acute)
"pressure behind eyes, blocked nose, facial tenderness, thick nasal discharge, headache",Sinusitis (Acute)
"headache, facial pain, nasal discharge (colored), sinus pressure, tenderness over cheekbones",Sinusitis (Acute)
"nasal congestion, green mucus, toothache, facial pressure, fever",Sinusitis (Acute)
"thick nasal discharge, persistent congestion, pressure around eyes, headache, facial pain",Sinusitis (Acute)
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"red scaly patches on skin, silvery white scales, itching, thick pitted nails, dry cracked skin",Psoriasis
"itchy skin, thick red patches, silvery scales, joint pain (psoriatic arthritis), dry skin",Psoriasis
"patches of red inflamed skin, silvery scales, flaking, nail pitting, persistent itching",Psoriasis
"thick scaly patches, redness, itching, dry skin, burning sensation",Psoriasis
"scaly patches on skin, silver scales, persistent itching, red inflamed skin, nail problems",Psoriasis
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"chronic cough with phlegm, shortness of breath on exertion, wheezing, chest tightness, frequent respiratory infections",Chronic Obstructive Pulmonary Disease (COPD)
"persistent cough, daily sputum production, breathlessness, constant wheezing, difficulty exhaling",Chronic Obstructive Pulmonary Disease (COPD)
"shortness of breath, wet chronic cough, excessive mucus, chest tightness, blue lips/fingers",Chronic Obstructive Pulmonary Disease (COPD)
"difficulty breathing, chronic cough (smoker's cough), frequent sputum, wheezing, tired easily",Chronic Obstructive Pulmonary Disease (COPD)
"cough with mucus, persistent breathlessness, wheezing, tightness in chest, heavy smoking history",Chronic Obstructive Pulmonary Disease (COPD)
"sneezing attacks, itchy nose and eyes, watery eyes, clear runny nose, nasal congestion",Seasonal Allergic Rhinitis (Hay Fever)
"constant sneezing, itchy watery eyes, clear nasal discharge, congested nose, allergic triggers",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose, watery eyes, sneezing, clear runny discharge, postnasal drip",Seasonal Allergic Rhinitis (Hay Fever)
"nasal congestion, itchy eyes, sneezing, watery discharge, seasonal recurrence",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose and eyes, persistent sneezing, clear runny nose, congestion, mild throat irritation",Seasonal Allergic Rhinitis (Hay Fever)
"sneezing attacks, itchy nose and eyes, watery eyes, clear runny nose, nasal congestion",Seasonal Allergic Rhinitis (Hay Fever)
"constant sneezing, itchy watery eyes, clear nasal discharge, congested nose, allergic triggers",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose, watery eyes, sneezing, clear runny discharge, postnasal drip",Seasonal Allergic Rhinitis (Hay Fever)
"nasal congestion, itchy eyes, sneezing, watery discharge, seasonal recurrence",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose and eyes, persistent sneezing, clear runny nose, congestion, mild throat irritation",Seasonal Allergic Rhinitis (Hay Fever)
"sneezing attacks, itchy nose and eyes, watery eyes, clear runny nose, nasal congestion",Seasonal Allergic Rhinitis (Hay Fever)
"constant sneezing, itchy watery eyes, clear nasal discharge, congested nose, allergic triggers",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose, watery eyes, sneezing, clear runny discharge, postnasal drip",Seasonal Allergic Rhinitis (Hay Fever)
"nasal congestion, itchy eyes, sneezing, watery discharge, seasonal recurrence",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose and eyes, persistent sneezing, clear runny nose, congestion, mild throat irritation",Seasonal Allergic Rhinitis (Hay Fever)
"sneezing attacks, itchy nose and eyes, watery eyes, clear runny nose, nasal congestion",Seasonal Allergic Rhinitis (Hay Fever)
"constant sneezing, itchy watery eyes, clear nasal discharge, congested nose, allergic triggers",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose, watery eyes, sneezing, clear runny discharge, postnasal drip",Seasonal Allergic Rhinitis (Hay Fever)
"nasal congestion, itchy eyes, sneezing, watery discharge, seasonal recurrence",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose and eyes, persistent sneezing, clear runny nose, congestion, mild throat irritation",Seasonal Allergic Rhinitis (Hay Fever)
"sneezing attacks, itchy nose and eyes, watery eyes, clear runny nose, nasal congestion",Seasonal Allergic Rhinitis (Hay Fever)
"constant sneezing, itchy watery eyes, clear nasal discharge, congested nose, allergic triggers",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose, watery eyes, sneezing, clear runny discharge, postnasal drip",Seasonal Allergic Rhinitis (Hay Fever)
"nasal congestion, itchy eyes, sneezing, watery discharge, seasonal recurrence",Seasonal Allergic Rhinitis (Hay Fever)
"itchy nose and eyes, persistent sneezing, clear runny nose, congestion, mild throat irritation",Seasonal Allergic Rhinitis (Hay Fever)
